;freq/Hz;Re(Z);Im(Z);r;Or
0;10002.229;0.139290438;-0.20320394220000002;0.005382;0.14867895
1;7469.9731;0.13835631600000003;-0.150455697;0.005382;0.14867895
2;5623.4634;0.137684043;-0.11151906360000001;0.005382;0.14867895
3;4166.333;0.13848783899999997;-0.079547979;0.005382;0.14867895
4;3110.9958;0.13935207300000002;-0.056563029599999995;0.005382;0.14867895
5;2322.77;0.13847937600000004;-0.0373088604;0.005382;0.14867895
6;1735.5554;0.14077929600000003;-0.0240303945;0.005382;0.14867895
7;1295.4148;0.14290691100000003;-0.01285211613;0.005382;0.14867895
8;967.8317900000001;0.144890319;-0.0036878200799999998;0.005382;0.14867895
9;723.37988;0.14867895;0.0035220580500000005;0.005382;0.14867895
10;540.17285;0.152104029;0.01018698072;0.005382;0.14867895
11;403.06525;0.15635585700000001;0.015712615380000003;0.005382;0.14867895
12;301.2532;0.161175777;0.020955182009999997;0.005382;0.14867895
13;225.07205;0.166516833;0.025196780699999997;0.005382;0.14867895
14;168.1171;0.17274614700000002;0.0283363668;0.005382;0.14867895
15;125.52214;0.17893068899999998;0.0325934091;0.005382;0.14867895
16;93.71051800000001;0.18263109899999996;0.0317196264;0.005382;0.14867895
17;70.022408;0.19116659100000005;0.0413239344;0.005382;0.14867895
18;52.2925;0.19709463899999996;0.0437180457;0.005382;0.14867895
19;39.062496;0.202598508;0.050926423799999995;0.005382;0.14867895
20;29.151121000000003;0.211205883;0.056187978;0.005382;0.14867895
21;21.792187;0.22085616000000002;0.06466370190000001;0.005382;0.14867895
22;16.276042999999998;0.23484528899999996;0.07265022239999999;0.005382;0.14867895
23;12.150079;0.251210169;0.0806786988;0.005382;0.14867895
24;9.0632257;0.275395785;0.08610409710000001;0.005382;0.14867895
25;6.781683900000001;0.29297106300000003;0.08278496730000001;0.005382;0.14867895
26;5.059908900000001;0.314366094;0.0845876178;0.005382;0.14867895
27;3.7778049;0.326125485;0.08345800890000002;0.005382;0.14867895
28;2.8244757999999996;0.3475144470000001;0.08061914910000001;0.005382;0.14867895
29;2.109206;0.36547129500000003;0.0726016452;0.005382;0.14867895
30;1.5751007;0.39202254000000003;0.0637441056;0.005382;0.14867895
31;1.1748117;0.388511382;0.0486182886;0.005382;0.14867895
32;0.87780881;0.4049215170000001;0.045976077;0.005382;0.14867895
33;0.65651262;0.3998775270000001;0.0452096421;0.005382;0.14867895
34;0.48987335;0.4184438370000001;0.0488710047;0.005382;0.14867895
35;0.36592504;0.413968632;0.029488662000000002;0.005382;0.14867895
