;freq/Hz;Re(Z);Im(Z);r;Or
0;10002.229;0.02535908549999999;-0.029125920599999997;0.00738;0.030357465600000008
1;7469.9731;0.024848609099999974;-0.020024789190000003;0.00738;0.030357465600000008
2;5623.4634;0.025244066399999994;-0.01296053598;0.00738;0.030357465600000008
3;4166.333;0.026590911899999986;-0.00761825421;0.00738;0.030357465600000008
4;3110.9958;0.028055319600000014;-0.0025872951300000002;0.00738;0.030357465600000008
5;2322.77;0.030357465600000008;0.000387790788;0.00738;0.030357465600000008
6;1735.5554;0.03150979019999998;0.00484508535;0.00738;0.030357465600000008
7;1295.4148;0.03405077549999999;0.00680123661;0.00738;0.030357465600000008
8;967.8317900000001;0.036565378499999995;0.00879502155;0.00738;0.030357465600000008
9;723.37988;0.0384332046;0.011459673540000001;0.00738;0.030357465600000008
10;540.17285;0.04068381449999999;0.012409213320000001;0.00738;0.030357465600000008
11;403.06525;0.04436495909999999;0.01676561082;0.00738;0.030357465600000008
12;301.2532;0.04566785789999999;0.017554890570000002;0.00738;0.030357465600000008
13;225.07205;0.049959146999999995;0.01926839733;0.00738;0.030357465600000008
14;168.1171;0.05235718529999999;0.0210070728;0.00738;0.030357465600000008
15;125.52214;0.055624484999999994;0.022520001;0.00738;0.030357465600000008
16;93.71051800000001;0.05848793999999999;0.026139687;0.00738;0.030357465600000008
17;70.022408;0.06203897699999999;0.029220840599999996;0.00738;0.030357465600000008
18;52.2925;0.06665612100000003;0.036028309800000005;0.00738;0.030357465600000008
19;39.062496;0.07136240999999999;0.0425629869;0.00738;0.030357465600000008
20;29.151121000000003;0.08106764399999998;0.049350810599999996;0.00738;0.030357465600000008
21;21.792187;0.09061449600000002;0.057420432300000004;0.00738;0.030357465600000008
22;16.276042999999998;0.10517488800000001;0.0659178492;0.00738;0.030357465600000008
23;12.150079;0.12144656999999999;0.06888930089999999;0.00738;0.030357465600000008
24;9.0632257;0.142451988;0.0840558222;0.00738;0.030357465600000008
25;6.781683900000001;0.13914266100000003;0.0785971935;0.00738;0.030357465600000008
26;5.059908900000001;0.151989642;0.0650365653;0.00738;0.030357465600000008
27;3.7778049;0.18456015899999995;0.0635789994;0.00738;0.030357465600000008
28;2.8244757999999996;0.19081857899999993;0.06084436680000001;0.00738;0.030357465600000008
29;2.109206;0.206258157;0.058683683099999995;0.00738;0.030357465600000008
30;1.5751007;0.21858939899999996;0.0530573274;0.00738;0.030357465600000008
31;1.1748117;0.18472969199999997;0.1327341729;0.00738;0.030357465600000008
32;0.87780881;0.23444813699999995;0.0466430958;0.00738;0.030357465600000008
33;0.65651262;0.307217841;0.012001145309999997;0.00738;0.030357465600000008
34;0.48987335;0.25361460599999996;0.0531415374;0.00738;0.030357465600000008
35;0.36592504;0.27616617;0.0032777934000000003;0.00738;0.030357465600000008
36;0.27337465;0.27408259199999996;0.07102072109999999;0.00738;0.030357465600000008
37;0.2042484;0.21231772799999996;-0.019750553759999998;0.00738;0.030357465600000008
38;0.15246877;0.242709075;-0.050805615;0.00738;0.030357465600000008
39;0.11373893;0.275801253;-0.022649785199999998;0.00738;0.030357465600000008
