;freq/Hz;Re(Z);Im(Z);r;Or
0;10002.229;0.0344592003;-0.024600624300000002;0.00738;0.039990081600000005
1;7469.9731;0.036029571899999994;-0.01633594368;0.00738;0.039990081600000005
2;5623.4634;0.037555001399999975;-0.00948930108;0.00738;0.039990081600000005
3;4166.333;0.037668747899999994;-0.00644848848;0.00738;0.039990081600000005
4;3110.9958;0.03834564300000001;-0.000231555849;0.00738;0.039990081600000005
5;2322.77;0.039990081600000005;0.0032923212;0.00738;0.039990081600000005
6;1735.5554;0.042180003600000016;0.00731882886;0.00738;0.039990081600000005
7;1295.4148;0.04340995260000001;0.01094826705;0.00738;0.039990081600000005
8;967.8317900000001;0.04683653309999998;0.011559759329999999;0.00738;0.039990081600000005
9;723.37988;0.049722126299999996;0.014621847870000003;0.00738;0.039990081600000005
10;540.17285;0.05247114809999998;0.01754146527;0.00738;0.039990081600000005
11;403.06525;0.054546305100000005;0.01577928429;0.00738;0.039990081600000005
12;301.2532;0.060952689000000004;0.022965455099999997;0.00738;0.039990081600000005
13;225.07205;0.06457600799999999;0.024743147099999998;0.00738;0.039990081600000005
14;168.1171;0.06895610399999996;0.025885484099999998;0.00738;0.039990081600000005
15;125.52214;0.07311593100000002;0.029565887399999997;0.00738;0.039990081600000005
16;93.71051800000001;0.07649485199999997;0.0332076423;0.00738;0.039990081600000005
17;70.022408;0.083634957;0.0375247572;0.00738;0.039990081600000005
18;52.2925;0.08823706500000002;0.0416292492;0.00738;0.039990081600000005
19;39.062496;0.09502226999999999;0.048250545;0.00738;0.039990081600000005
20;29.151121000000003;0.10188068100000001;0.054356339100000005;0.00738;0.039990081600000005
21;21.792187;0.10254016499999999;0.0588821016;0.00738;0.039990081600000005
22;16.276042999999998;0.13068787199999998;0.0747522573;0.00738;0.039990081600000005
23;12.150079;0.14608616399999996;0.0808688139;0.00738;0.039990081600000005
24;9.0632257;0.165246543;0.08432974830000001;0.00738;0.039990081600000005
25;6.781683900000001;0.190815723;0.0831704811;0.00738;0.039990081600000005
26;5.059908900000001;0.202491723;0.0798072576;0.00738;0.039990081600000005
27;3.7778049;0.21787245899999994;0.08100610559999999;0.00738;0.039990081600000005
28;2.8244757999999996;0.232221633;0.0760687641;0.00738;0.039990081600000005
29;2.109206;0.252325227;0.0693358449;0.00738;0.039990081600000005
