;freq/Hz;Re(Z);Im(Z);r;Or
0;10002.229;0.032397361499999985;-0.0287009835;0.00738;0.035666620499999996
1;7469.9731;0.03274466789999998;-0.02044656978;0.00738;0.035666620499999996
2;5623.4634;0.0328919199;-0.01237140072;0.00738;0.035666620499999996
3;4166.333;0.033679041900000005;-0.006491560740000001;0.00738;0.035666620499999996
4;3110.9958;0.03518254530000002;-0.0014758999080000002;0.00738;0.035666620499999996
5;2322.77;0.035666620499999996;0.0023028560100000002;0.00738;0.035666620499999996
6;1735.5554;0.0375543756;0.00824050311;0.00738;0.035666620499999996
7;1295.4148;0.03943201920000001;0.00894517827;0.00738;0.035666620499999996
8;967.8317900000001;0.041611224899999966;0.01283922633;0.00738;0.035666620499999996
9;723.37988;0.04515476069999999;0.01745794764;0.00738;0.035666620499999996
10;540.17285;0.04817350229999998;0.01959281541;0.00738;0.035666620499999996
11;403.06525;0.05210618070000002;0.02060450616;0.00738;0.035666620499999996
12;301.2532;0.057047864999999996;0.023994033;0.00738;0.035666620499999996
13;225.07205;0.06050097899999999;0.026602365299999996;0.00738;0.035666620499999996
14;168.1171;0.06637070999999999;0.028322349299999997;0.00738;0.035666620499999996
15;125.52214;0.07139800499999999;0.030337937699999998;0.00738;0.035666620499999996
16;93.71051800000001;0.076726188;0.033772722899999996;0.00738;0.035666620499999996
17;70.022408;0.08182752899999997;0.0380009574;0.00738;0.035666620499999996
18;52.2925;0.088521951;0.0413662704;0.00738;0.035666620499999996
19;39.062496;0.0932673;0.0480043809;0.00738;0.035666620499999996
20;29.151121000000003;0.10309529999999999;0.054536227199999995;0.00738;0.035666620499999996
21;21.792187;0.11465094899999996;0.06050105880000001;0.00738;0.035666620499999996
22;16.276042999999998;0.127764525;0.0726745761;0.00738;0.035666620499999996
23;12.150079;0.146435247;0.0785915613;0.00738;0.035666620499999996
24;9.0632257;0.15919782899999996;0.07998478319999999;0.00738;0.035666620499999996
25;6.781683900000001;0.18565117199999998;0.0818303724;0.00738;0.035666620499999996
26;5.059908900000001;0.20108640299999997;0.0795156369;0.00738;0.035666620499999996
27;3.7778049;0.215788566;0.0756294231;0.00738;0.035666620499999996
28;2.8244757999999996;0.23530348799999998;0.0757011717;0.00738;0.035666620499999996
29;2.109206;0.24978269399999997;0.072764664;0.00738;0.035666620499999996
30;1.5751007;0.25659146099999997;0.0651772296;0.00738;0.035666620499999996
31;1.1748117;0.272569458;0.055907682599999994;0.00738;0.035666620499999996
32;0.87780881;0.28467135899999996;0.0504758919;0.00738;0.035666620499999996
33;0.65651262;0.29385980399999995;0.0487552569;0.00738;0.035666620499999996
34;0.48987335;0.29852008199999996;0.050037455999999994;0.00738;0.035666620499999996
35;0.36592504;0.306155346;0.0363766872;0.00738;0.035666620499999996
36;0.27337465;0.30677954999999996;0.024851169;0.00738;0.035666620499999996
37;0.2042484;0.312421158;0.008707094129999999;0.00738;0.035666620499999996
38;0.15246877;0.32888347799999995;0.01632846663;0.00738;0.035666620499999996
39;0.11373893;0.329646471;0.01497570795;0.00738;0.035666620499999996
40;0.085123882;0.33758715899999997;0.01667710212;0.00738;0.035666620499999996
