;freq/Hz;Re(Z);Im(Z);r;Or
0;10002.229;0.008492628899999997;-0.017207254680000002;0.006689;0.008035446300000013
1;7469.9731;0.006775475700000019;-0.010075956870000001;0.006689;0.008035446300000013
2;5623.4634;0.007061499899999998;-0.0071392066200000005;0.006689;0.008035446300000013
3;4166.333;0.008696343600000022;-0.00309276639;0.006689;0.008035446300000013
4;3110.9958;0.008035446300000013;0.002042775273;0.006689;0.008035446300000013
5;2322.77;0.009822206100000012;0.00337641381;0.006689;0.008035446300000013
6;1735.5554;0.01207059840000001;0.007603800329999999;0.006689;0.008035446300000013
7;1295.4148;0.01495734449999999;0.0117844818;0.006689;0.008035446300000013
8;967.8317900000001;0.016099517700000014;0.01042153476;0.006689;0.008035446300000013
9;723.37988;0.01765418550000001;0.01344615048;0.006689;0.008035446300000013
10;540.17285;0.01977938130000001;0.015293778360000001;0.006689;0.008035446300000013
11;403.06525;0.0223295394;0.02041436796;0.006689;0.008035446300000013
12;301.2532;0.025693535700000034;0.0243967815;0.006689;0.008035446300000013
13;225.07205;0.0292021611;0.0286315638;0.006689;0.008035446300000013
14;168.1171;0.033480659100000004;0.032950631699999997;0.006689;0.008035446300000013
15;125.52214;0.038585746500000004;0.0378942501;0.006689;0.008035446300000013
16;93.71051800000001;0.04664716770000001;0.0437128335;0.006689;0.008035446300000013
17;70.022408;0.0506110206;0.051317867999999996;0.006689;0.008035446300000013
18;52.2925;0.05884110749999999;0.0600023802;0.006689;0.008035446300000013
19;39.062496;0.070713342;0.0699036366;0.006689;0.008035446300000013
20;29.151121000000003;0.08270526600000003;0.0813205491;0.006689;0.008035446300000013
21;21.792187;0.098365848;0.0926356809;0.006689;0.008035446300000013
22;16.276042999999998;0.11931217200000001;0.1064880516;0.006689;0.008035446300000013
23;12.150079;0.143007921;0.1163428035;0.006689;0.008035446300000013
24;9.0632257;0.16979423999999999;0.11757058110000002;0.006689;0.008035446300000013
25;6.781683900000001;0.194761098;0.12400228260000001;0.006689;0.008035446300000013
26;5.059908900000001;0.23408471099999997;0.1103984616;0.006689;0.008035446300000013
27;3.7778049;0.23554215299999998;0.1291466421;0.006689;0.008035446300000013
28;2.8244757999999996;0.261831633;0.1032859632;0.006689;0.008035446300000013
29;2.109206;0.30281827799999994;0.0779826138;0.006689;0.008035446300000013
30;1.5751007;0.309960147;0.0837488715;0.006689;0.008035446300000013
31;1.1748117;0.29794157399999993;0.08618324819999999;0.006689;0.008035446300000013
32;0.87780881;0.299001927;0.0674864904;0.006689;0.008035446300000013
33;0.65651262;0.322331184;0.054580814400000004;0.006689;0.008035446300000013
34;0.48987335;0.33025990200000005;0.019921747860000002;0.006689;0.008035446300000013
35;0.36592504;0.325697316;0.023879824499999997;0.006689;0.008035446300000013
36;0.27337465;0.32039168700000004;0.0289805796;0.006689;0.008035446300000013
37;0.2042484;0.312816483;-0.0474259842;0.006689;0.008035446300000013
38;0.15246877;0.32008861499999997;0.01262615172;0.006689;0.008035446300000013
39;0.11373893;0.35463764700000006;0.01595982696;0.006689;0.008035446300000013
40;0.085123882;0.318974439;0.00937546155;0.006689;0.008035446300000013
41;0.063551396;0.33456179399999997;0.005311425629999999;0.006689;0.008035446300000013
42;0.047469317999999996;0.325017567;-0.00804876849;0.006689;0.008035446300000013
