freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	8.2241315E-003	6.4934389E-004
7.4699731E+003	8.2253776E-003	3.8244395E-004
5.6234634E+003	8.2828617E-003	1.4717272E-004
4.1663330E+003	8.3100861E-003	-7.8969468E-005
3.1109958E+003	8.3751120E-003	-2.1756184E-004
2.3227700E+003	8.4458645E-003	-3.8943446E-004
1.7355554E+003	8.5725412E-003	-5.5489136E-004
1.2954148E+003	8.7315235E-003	-6.6293916E-004
9.6783179E+002	8.8325329E-003	-8.0718118E-004
7.2337988E+002	8.9751175E-003	-9.9324179E-004
5.4017285E+002	9.1936318E-003	-1.1229768E-003
4.0306525E+002	9.4482452E-003	-1.2709972E-003
3.0125320E+002	9.6930889E-003	-1.3586351E-003
2.2507205E+002	1.0031503E-002	-1.5389506E-003
1.6811710E+002	1.0216517E-002	-1.5942339E-003
1.2552214E+002	1.0540278E-002	-1.6852982E-003
9.3710518E+001	1.0858275E-002	-1.7970507E-003
7.0022408E+001	1.1163815E-002	-1.9354968E-003
5.2292500E+001	1.1448607E-002	-2.1226152E-003
3.9062496E+001	1.1764374E-002	-2.3687361E-003
2.9151121E+001	1.2188815E-002	-2.7209900E-003
2.1792187E+001	1.2717693E-002	-3.0787492E-003
1.6276043E+001	1.3401296E-002	-3.5209132E-003
1.2150079E+001	1.4168547E-002	-3.9047473E-003
9.0632257E+000	1.5172087E-002	-4.0291976E-003
6.7816839E+000	1.6136646E-002	-4.0747304E-003
5.0599089E+000	1.6906850E-002	-3.9256010E-003
3.7778049E+000	1.7737949E-002	-3.6964542E-003
2.8244758E+000	1.8344637E-002	-3.6243573E-003
2.1092060E+000	1.9501191E-002	-3.2133546E-003
1.5751007E+000	2.0045355E-002	-3.0617036E-003
1.1748117E+000	2.0787703E-002	-2.6871336E-003
8.7780881E-001	2.1038691E-002	-2.6754325E-003
6.5651262E-001	2.1554345E-002	-2.4038835E-003
4.8987335E-001	2.1762377E-002	-1.5257529E-003
3.6592504E-001	2.2132717E-002	-2.0256622E-003
2.7337465E-001	2.2919940E-002	-1.0754825E-003
2.0424840E-001	2.2947848E-002	-2.5748287E-003
