freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	7.7589490E-003	1.3077481E-003
7.4699731E+003	7.7213333E-003	9.0068532E-004
5.6234634E+003	7.7255485E-003	5.6028308E-004
4.1663330E+003	7.7745803E-003	2.9084203E-004
3.1109958E+003	7.8778630E-003	4.1705342E-005
2.3227700E+003	7.8665279E-003	-1.3209153E-004
1.7355554E+003	7.9428153E-003	-2.8727800E-004
1.2954148E+003	8.0607710E-003	-4.8729265E-004
9.6783179E+002	8.1570530E-003	-5.9884723E-004
7.2337988E+002	8.3168577E-003	-7.6319318E-004
5.4017285E+002	8.4942691E-003	-8.6274359E-004
4.0306525E+002	8.6238272E-003	-1.0754159E-003
3.0125320E+002	8.9003704E-003	-1.1994813E-003
2.2507205E+002	9.1131646E-003	-1.3409283E-003
1.6811710E+002	9.4006006E-003	-1.4847080E-003
1.2552214E+002	9.6688783E-003	-1.6665892E-003
9.3710518E+001	9.9708028E-003	-1.8116368E-003
7.0022408E+001	1.0249095E-002	-1.9983526E-003
5.2292500E+001	1.0596439E-002	-2.2043136E-003
3.9062496E+001	1.0932860E-002	-2.4703839E-003
2.9151121E+001	1.1402476E-002	-2.7356900E-003
2.1792187E+001	1.1962961E-002	-3.1339847E-003
1.6276043E+001	1.2639854E-002	-3.5178699E-003
1.2150079E+001	1.3316882E-002	-3.8260852E-003
9.0632257E+000	1.4383829E-002	-3.8404926E-003
6.7816839E+000	1.5246385E-002	-3.7225685E-003
5.0599089E+000	1.5994851E-002	-3.4745331E-003
3.7778049E+000	1.6336828E-002	-4.9297796E-003
2.8244758E+000	2.1152815E-002	-3.3166637E-003
2.1092060E+000	1.9745696E-002	-5.5907998E-004
1.5751007E+000	1.8590009E-002	-4.5681577E-003
1.1748117E+000	1.9804275E-002	-2.8970044E-003
8.7780881E-001	1.9099567E-002	-2.8202769E-003
6.5651262E-001	2.1802861E-002	-6.1274166E-003
4.8987335E-001	1.9747090E-002	3.4670027E-003
