freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	1.2014878E-002	9.6763782E-003
7.4699731E+003	1.1970396E-002	7.1645570E-003
5.6234634E+003	1.1938383E-002	5.3104316E-003
4.1663330E+003	1.1976659E-002	3.7879990E-003
3.1109958E+003	1.2017813E-002	2.6934776E-003
2.3227700E+003	1.1976256E-002	1.7766124E-003
1.7355554E+003	1.2085776E-002	1.1443045E-003
1.2954148E+003	1.2187091E-002	6.1200553E-004
9.6783179E+002	1.2281539E-002	1.7561048E-004
7.2337988E+002	1.2461950E-002	-1.6771705E-004
5.4017285E+002	1.2625049E-002	-4.8509432E-004
4.0306525E+002	1.2827517E-002	-7.4821978E-004
3.0125320E+002	1.3057037E-002	-9.9786581E-004
2.2507205E+002	1.3311373E-002	-1.1998467E-003
1.6811710E+002	1.3608007E-002	-1.3493508E-003
1.2552214E+002	1.3902509E-002	-1.5520671E-003
9.3710518E+001	1.4078719E-002	-1.5104584E-003
7.0022408E+001	1.4485171E-002	-1.9678064E-003
5.2292500E+001	1.4767459E-002	-2.0818117E-003
3.9062496E+001	1.5029548E-002	-2.4250678E-003
2.9151121E+001	1.5439423E-002	-2.6756180E-003
2.1792187E+001	1.5898960E-002	-3.0792239E-003
1.6276043E+001	1.6565109E-002	-3.4595344E-003
1.2150079E+001	1.7344389E-002	-3.8418428E-003
9.0632257E+000	1.8496085E-002	-4.1001951E-003
6.7816839E+000	1.9333003E-002	-3.9421413E-003
5.0599089E+000	2.0351814E-002	-4.0279818E-003
3.7778049E+000	2.0911785E-002	-3.9741909E-003
2.8244758E+000	2.1930307E-002	-3.8390071E-003
2.1092060E+000	2.2785395E-002	-3.4572212E-003
1.5751007E+000	2.4049740E-002	-3.0354336E-003
1.1748117E+000	2.3882542E-002	-2.3151566E-003
8.7780881E-001	2.4663977E-002	-2.1893370E-003
6.5651262E-001	2.4423787E-002	-2.1528401E-003
4.8987335E-001	2.5307897E-002	-2.3271907E-003
3.6592504E-001	2.5094792E-002	-1.4042220E-003
