freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	7.6181060E-003	4.4907659E-004
7.4699731E+003	7.6468815E-003	2.3095368E-004
5.6234634E+003	7.7070822E-003	5.1166895E-005
4.1663330E+003	7.7640619E-003	-9.7527147E-005
3.1109958E+003	7.7745174E-003	-2.0755039E-004
2.3227700E+003	7.8689791E-003	-3.4952967E-004
1.7355554E+003	8.0193700E-003	-4.5645566E-004
1.2954148E+003	8.1598032E-003	-5.9443043E-004
9.6783179E+002	8.2756458E-003	-7.4596301E-004
7.2337988E+002	8.4253633E-003	-8.3841651E-004
5.4017285E+002	8.5844873E-003	-9.7707368E-004
4.0306525E+002	8.7221274E-003	-1.1069134E-003
3.0125320E+002	8.9332750E-003	-1.2061475E-003
2.2507205E+002	9.2740757E-003	-1.3550589E-003
1.6811710E+002	9.4896108E-003	-1.4639808E-003
1.2552214E+002	9.7732348E-003	-1.6308327E-003
9.3710518E+001	1.0037927E-002	-1.7707361E-003
7.0022408E+001	1.0289459E-002	-1.8814136E-003
5.2292500E+001	1.0594940E-002	-2.1059727E-003
3.9062496E+001	1.1035399E-002	-2.4596092E-003
2.9151121E+001	1.1267722E-002	-2.6971847E-003
2.1792187E+001	1.1939785E-002	-3.1188626E-003
1.6276043E+001	1.2688806E-002	-3.4973191E-003
1.2150079E+001	1.3441560E-002	-3.7729512E-003
9.0632257E+000	1.4318475E-002	-3.9423383E-003
6.7816839E+000	1.5236137E-002	-4.1005514E-003
5.0599089E+000	1.5547208E-002	-3.0878165E-003
3.7778049E+000	1.6522827E-002	-4.3552555E-003
2.8244758E+000	1.7070809E-002	-1.7623015E-003
2.1092060E+000	1.8249400E-002	-2.9634722E-003
1.5751007E+000	1.8790167E-002	-2.8993187E-003
1.1748117E+000	2.3270551E-002	5.3709187E-004
8.7780881E-001	2.3291375E-002	-7.9731951E-003
6.5651262E-001	2.0982053E-002	-2.3106164E-003
4.8987335E-001	2.1095034E-002	-2.6788646E-003
3.6592504E-001	2.3305586E-002	-2.7002017E-003
2.7337465E-001	1.9925190E-002	-3.4812083E-003
2.0424840E-001	2.0021273E-002	-5.9088357E-003
1.5246877E-001	2.2992833E-002	7.6074275E-004
1.1373893E-001	2.1134816E-002	-3.3999486E-003
8.5123882E-002	2.4991971E-002	-3.8866093E-003
