freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	7.6491646E-003	5.3639431E-004
7.4699731E+003	7.7015013E-003	3.0868244E-004
5.6234634E+003	7.6904567E-003	7.5926626E-005
4.1663330E+003	7.7671465E-003	-3.4886318E-005
3.1109958E+003	7.8302752E-003	-1.7394045E-004
2.3227700E+003	7.9165315E-003	-3.2946409E-004
1.7355554E+003	8.0032274E-003	-4.4079401E-004
1.2954148E+003	8.1372708E-003	-6.2820269E-004
9.6783179E+002	8.2509601E-003	-7.7735551E-004
7.2337988E+002	8.4549133E-003	-8.6771348E-004
5.4017285E+002	8.6673200E-003	-1.0128064E-003
4.0306525E+002	8.8472664E-003	-1.1491505E-003
3.0125320E+002	9.0146223E-003	-1.2430847E-003
2.2507205E+002	9.2966910E-003	-1.4109426E-003
1.6811710E+002	9.5470548E-003	-1.5278895E-003
1.2552214E+002	9.8517332E-003	-1.6791795E-003
9.3710518E+001	1.0162159E-002	-1.7635655E-003
7.0022408E+001	1.0263026E-002	-1.9168294E-003
5.2292500E+001	1.0718665E-002	-2.0908462E-003
3.9062496E+001	1.0832411E-002	-2.5085364E-003
2.9151121E+001	1.1461151E-002	-2.6486116E-003
2.1792187E+001	1.2053184E-002	-3.1494647E-003
1.6276043E+001	1.2639116E-002	-3.4928592E-003
1.2150079E+001	1.3537797E-002	-3.8009735E-003
9.0632257E+000	1.4514446E-002	-3.9329296E-003
6.7816839E+000	1.5304757E-002	-4.0700315E-003
5.0599089E+000	1.6075414E-002	-3.5098654E-003
3.7778049E+000	1.6852185E-002	-3.7789848E-003
2.8244758E+000	1.7688232E-002	-3.4815813E-003
2.1092060E+000	1.8888572E-002	-3.4451720E-003
1.5751007E+000	1.9023726E-002	-2.8697338E-003
1.1748117E+000	1.9695865E-002	-2.7346802E-003
8.7780881E-001	1.9950712E-002	-2.3690586E-003
6.5651262E-001	2.0851413E-002	-2.2817699E-003
4.8987335E-001	2.1027906E-002	-1.6302525E-003
3.6592504E-001	2.1242766E-002	-1.9469857E-003
2.7337465E-001	2.1180298E-002	-1.2864284E-003
2.0424840E-001	2.1310467E-002	-1.9386556E-003
1.5246877E-001	2.1559833E-002	-8.3054876E-004
1.1373893E-001	2.2360289E-002	-5.5454124E-004
8.5123882E-002	2.1774244E-002	-3.3019800E-004
6.3551396E-002	2.1893777E-002	-3.3643915E-004
4.7469318E-002	2.2095377E-002	-3.9250936E-004
