freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	8.1623076E-003	1.3129868E-003
7.4699731E+003	8.1426241E-003	8.5069495E-004
5.6234634E+003	8.1752324E-003	5.4133194E-004
4.1663330E+003	8.2101421E-003	2.7262690E-004
3.1109958E+003	8.3127376E-003	2.4169660E-005
2.3227700E+003	8.3704367E-003	-2.0111103E-004
1.7355554E+003	8.4540378E-003	-3.8325010E-004
1.2954148E+003	8.5724741E-003	-5.6197401E-004
9.6783179E+002	8.7150764E-003	-6.8839564E-004
7.2337988E+002	8.8827107E-003	-8.4238313E-004
5.4017285E+002	9.0648979E-003	-1.0041043E-003
4.0306525E+002	9.2565268E-003	-1.1289755E-003
3.0125320E+002	9.5053911E-003	-1.2670360E-003
2.2507205E+002	9.7525893E-003	-1.4185605E-003
1.6811710E+002	9.9805836E-003	-1.5274127E-003
1.2552214E+002	1.0273254E-002	-1.6533923E-003
9.3710518E+001	1.0604546E-002	-1.7857286E-003
7.0022408E+001	1.0892429E-002	-1.9344186E-003
5.2292500E+001	1.1199704E-002	-2.1743402E-003
3.9062496E+001	1.1540086E-002	-2.4612662E-003
2.9151121E+001	1.1935584E-002	-2.6937167E-003
2.1792187E+001	1.2443787E-002	-3.1007777E-003
1.6276043E+001	1.3171490E-002	-3.5478398E-003
1.2150079E+001	1.4053185E-002	-3.8689587E-003
9.0632257E+000	1.5020544E-002	-3.9800238E-003
6.7816839E+000	1.5909133E-002	-4.1075661E-003
5.0599089E+000	1.6814809E-002	-3.7666108E-003
3.7778049E+000	1.7402818E-002	-3.6752543E-003
2.8244758E+000	1.8150287E-002	-3.6985485E-003
2.1092060E+000	1.9031534E-002	-3.6257426E-003
1.5751007E+000	1.9524537E-002	-2.6575150E-003
1.1748117E+000	1.9922920E-002	-2.4022246E-003
8.7780881E-001	2.0417208E-002	-2.2843953E-003
6.5651262E-001	2.1074949E-002	-2.4929508E-003
4.8987335E-001	2.1643821E-002	-2.0925940E-003
3.6592504E-001	2.1585245E-002	-1.8357615E-003
2.7337465E-001	2.2376662E-002	-1.8859087E-003
2.0424840E-001	2.2841025E-002	2.0697891E-005
1.5246877E-001	2.2386244E-002	-8.0866501E-004
