freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	7.8610703E-003	1.1407364E-003
7.4699731E+003	7.8413328E-003	7.4150448E-004
5.6234634E+003	7.9426207E-003	4.2500233E-004
4.1663330E+003	7.9422761E-003	1.5376443E-004
3.1109958E+003	7.9997918E-003	-6.0948976E-005
2.3227700E+003	8.0941850E-003	-2.6119134E-004
1.7355554E+003	8.1928447E-003	-3.8118163E-004
1.2954148E+003	8.3564604E-003	-5.8760139E-004
9.6783179E+002	8.4521966E-003	-7.3334522E-004
7.2337988E+002	8.6521339E-003	-9.3075819E-004
5.4017285E+002	8.7782750E-003	-1.0165075E-003
4.0306525E+002	9.0577183E-003	-1.1568571E-003
3.0125320E+002	9.2924153E-003	-1.3164646E-003
2.2507205E+002	9.5367497E-003	-1.4355105E-003
1.6811710E+002	9.8361149E-003	-1.4975062E-003
1.2552214E+002	1.0082799E-002	-1.5815411E-003
9.3710518E+001	1.0399058E-002	-1.6969718E-003
7.0022408E+001	1.0645816E-002	-1.8444557E-003
5.2292500E+001	1.0885448E-002	-2.0044765E-003
3.9062496E+001	1.1177002E-002	-2.2903355E-003
2.9151121E+001	1.1520385E-002	-2.7113068E-003
2.1792187E+001	1.2001105E-002	-3.0810824E-003
1.6276043E+001	1.2608481E-002	-3.5394533E-003
1.2150079E+001	1.3481926E-002	-4.1052327E-003
9.0632257E+000	1.4601199E-002	-4.3664174E-003
6.7816839E+000	1.5687659E-002	-4.3388945E-003
5.0599089E+000	1.6715003E-002	-4.3012099E-003
3.7778049E+000	1.7640468E-002	-4.1779131E-003
2.8244758E+000	2.2812096E-002	-3.3196493E-003
2.1092060E+000	1.6053084E-002	-5.1336730E-004
1.5751007E+000	2.0472899E-002	-3.2521179E-003
1.1748117E+000	2.0095682E-002	-2.5965117E-003
8.7780881E-001	2.1036793E-002	-2.2411072E-003
6.5651262E-001	2.1377679E-002	-1.5856293E-003
4.8987335E-001	2.1540545E-002	-1.4477614E-003
3.6592504E-001	2.1717843E-002	-1.5380043E-003
2.7337465E-001	2.2080533E-002	-1.0582000E-003
2.0424840E-001	2.2596672E-002	-3.8290606E-004
1.5246877E-001	2.0635093E-002	-2.5037545E-004
1.1373893E-001	2.3180084E-002	-6.7623617E-004
8.5123882E-002	2.2610532E-002	-3.2578935E-004
