freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	8.0832550E-003	3.7234940E-004
7.4699731E+003	8.1350766E-003	1.8721273E-004
5.6234634E+003	8.1671663E-003	3.1743279E-005
4.1663330E+003	8.2220556E-003	-1.2947741E-004
3.1109958E+003	8.2513839E-003	-2.7710316E-004
2.3227700E+003	8.3607147E-003	-4.0110221E-004
1.7355554E+003	8.4581086E-003	-5.3360657E-004
1.2954148E+003	8.5578449E-003	-6.3705893E-004
9.6783179E+002	8.7024402E-003	-8.0089062E-004
7.2337988E+002	8.8436538E-003	-9.0593379E-004
5.4017285E+002	9.0244319E-003	-1.0969638E-003
4.0306525E+002	9.2056645E-003	-1.2026334E-003
3.0125320E+002	9.4773481E-003	-1.3348314E-003
2.2507205E+002	9.7317584E-003	-1.4078845E-003
1.6811710E+002	1.0029351E-002	-1.5152241E-003
1.2552214E+002	1.0280352E-002	-1.6474122E-003
9.3710518E+001	1.0545419E-002	-1.7835943E-003
7.0022408E+001	1.0860848E-002	-1.9400576E-003
5.2292500E+001	1.1136267E-002	-2.1184327E-003
3.9062496E+001	1.1406847E-002	-2.3607484E-003
2.9151121E+001	1.1869423E-002	-2.6998776E-003
2.1792187E+001	1.2384570E-002	-3.1502377E-003
1.6276043E+001	1.3155089E-002	-3.4951055E-003
1.2150079E+001	1.3991746E-002	-3.8192596E-003
9.0632257E+000	1.4907693E-002	-3.9168429E-003
6.7816839E+000	1.5992889E-002	-3.8027549E-003
5.0599089E+000	1.6714226E-002	-4.0344074E-003
3.7778049E+000	1.7341003E-002	-3.6695471E-003
2.8244758E+000	1.8027844E-002	-3.6368868E-003
2.1092060E+000	1.8615073E-002	-3.2500781E-003
1.5751007E+000	1.9344749E-002	-3.5732144E-003
1.1748117E+000	2.0237202E-002	-2.7176721E-003
8.7780881E-001	2.0556659E-002	-2.7753075E-003
6.5651262E-001	2.0716172E-002	-2.7297917E-003
4.8987335E-001	2.1529101E-002	-2.2560845E-003
3.6592504E-001	2.2008650E-002	-2.4177639E-003
2.7337465E-001	2.2886543E-002	-1.6180703E-003
2.0424840E-001	2.2691267E-002	-8.3645107E-004
1.5246877E-001	2.3512777E-002	-2.9734841E-003
1.1373893E-001	2.1829437E-002	-3.8930113E-004
