freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	7.8380099E-003	1.3371895E-003
7.4699731E+003	7.8749042E-003	9.0951088E-004
5.6234634E+003	7.9063578E-003	5.6270265E-004
4.1663330E+003	7.9666888E-003	2.0261800E-004
3.1109958E+003	7.9887100E-003	-3.6199197E-006
2.3227700E+003	8.1270998E-003	-2.2056284E-004
1.7355554E+003	8.2247620E-003	-3.8307824E-004
1.2954148E+003	8.2992399E-003	-5.2651175E-004
9.6783179E+002	8.4787356E-003	-7.3921029E-004
7.2337988E+002	8.6335102E-003	-8.4145647E-004
5.4017285E+002	8.7955073E-003	-1.0119138E-003
4.0306525E+002	9.0682860E-003	-1.1433148E-003
3.0125320E+002	9.2737284E-003	-1.2554028E-003
2.2507205E+002	9.5476536E-003	-1.4129914E-003
1.6811710E+002	9.8070903E-003	-1.5028066E-003
1.2552214E+002	1.0086117E-002	-1.6266301E-003
9.3710518E+001	1.0324745E-002	-1.7840127E-003
7.0022408E+001	1.0572460E-002	-1.8645746E-003
5.2292500E+001	1.0906389E-002	-2.0783292E-003
3.9062496E+001	1.1200856E-002	-2.3542887E-003
2.9151121E+001	1.1549966E-002	-2.6897679E-003
2.1792187E+001	1.2040985E-002	-3.1192291E-003
1.6276043E+001	1.2703780E-002	-3.6035187E-003
1.2150079E+001	1.3531681E-002	-4.0190360E-003
9.0632257E+000	1.4610379E-002	-4.3674111E-003
6.7816839E+000	1.5702171E-002	-4.3538064E-003
5.0599089E+000	1.6644293E-002	-4.1815517E-003
3.7778049E+000	1.7421680E-002	-4.1553252E-003
2.8244758E+000	1.8610831E-002	-4.1000359E-003
2.1092060E+000	1.9545430E-002	-3.5161341E-003
1.5751007E+000	2.0322818E-002	-3.3382934E-003
1.1748117E+000	2.0415710E-002	-2.7199166E-003
8.7780881E-001	2.1245217E-002	-2.3742961E-003
6.5651262E-001	2.1256085E-002	-1.9551893E-003
4.8987335E-001	1.6708208E-002	3.5118072E-003
3.6592504E-001	2.1364814E-002	-2.8611678E-003
2.7337465E-001	2.1972779E-002	-2.2922382E-003
2.0424840E-001	2.1902794E-002	-2.4282894E-004
1.5246877E-001	2.1733692E-002	-9.6787827E-004
