freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	8.1336740E-003	4.6664555E-004
7.4699731E+003	8.1289951E-003	2.8440726E-004
5.6234634E+003	8.2281949E-003	9.6164280E-005
4.1663330E+003	8.2621137E-003	-6.8526548E-005
3.1109958E+003	8.2954289E-003	-2.5615355E-004
2.3227700E+003	8.4341904E-003	-4.2395818E-004
1.7355554E+003	8.5360352E-003	-5.5735046E-004
1.2954148E+003	8.6067719E-003	-7.2041492E-004
9.6783179E+002	8.7720295E-003	-8.3773152E-004
7.2337988E+002	8.9716548E-003	-9.7770966E-004
5.4017285E+002	9.1920570E-003	-1.1147880E-003
4.0306525E+002	9.3674436E-003	-1.2786025E-003
3.0125320E+002	9.6298382E-003	-1.3938365E-003
2.2507205E+002	9.9068331E-003	-1.5125255E-003
1.6811710E+002	1.0235392E-002	-1.6231692E-003
1.2552214E+002	1.0504866E-002	-1.7077213E-003
9.3710518E+001	1.0827216E-002	-1.8070246E-003
7.0022408E+001	1.1047776E-002	-1.9416336E-003
5.2292500E+001	1.1381533E-002	-2.1539775E-003
3.9062496E+001	1.1688894E-002	-2.3890955E-003
2.9151121E+001	1.2067573E-002	-2.7694306E-003
2.1792187E+001	1.2564108E-002	-3.1443282E-003
1.6276043E+001	1.3222707E-002	-3.5099068E-003
1.2150079E+001	1.4146122E-002	-3.8897221E-003
9.0632257E+000	1.5154595E-002	-4.1411109E-003
6.7816839E+000	1.6172459E-002	-3.9617759E-003
5.0599089E+000	1.6992822E-002	-3.9550443E-003
3.7778049E+000	1.7632615E-002	-3.9254106E-003
2.8244758E+000	1.8572383E-002	-3.8308564E-003
2.1092060E+000	1.9515349E-002	-3.5112679E-003
1.5751007E+000	2.0503992E-002	-3.6567939E-003
1.1748117E+000	2.0947974E-002	-2.5785977E-003
8.7780881E-001	2.1281904E-002	-2.1157879E-003
6.5651262E-001	2.1520134E-002	-1.6065079E-003
4.8987335E-001	2.1608368E-002	-1.9694136E-003
3.6592504E-001	2.2553511E-002	-1.4806805E-003
2.7337465E-001	2.2376288E-002	-8.1551698E-004
