freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0002229E+004	8.2018971E-003	1.1588467E-003
7.4699731E+003	8.2336171E-003	7.7477540E-004
5.6234634E+003	8.2437620E-003	4.5576302E-004
4.1663330E+003	8.3218999E-003	1.7251004E-004
3.1109958E+003	8.3983829E-003	-5.8997655E-005
2.3227700E+003	8.4876874E-003	-2.3370091E-004
1.7355554E+003	8.5239494E-003	-4.7217705E-004
1.2954148E+003	8.6976774E-003	-6.3229923E-004
9.6783179E+002	8.8294372E-003	-7.9511438E-004
7.2337988E+002	9.0384064E-003	-9.4410771E-004
5.4017285E+002	9.2517873E-003	-1.0906530E-003
4.0306525E+002	9.4909836E-003	-1.2326506E-003
3.0125320E+002	9.7623589E-003	-1.3553135E-003
2.2507205E+002	9.9790581E-003	-1.4802458E-003
1.6811710E+002	1.0302177E-002	-1.5822196E-003
1.2552214E+002	1.0585582E-002	-1.6461198E-003
9.3710518E+001	1.0861709E-002	-1.7352686E-003
7.0022408E+001	1.1140073E-002	-1.8898299E-003
5.2292500E+001	1.1414035E-002	-2.0836887E-003
3.9062496E+001	1.1703048E-002	-2.3271383E-003
2.9151121E+001	1.2053650E-002	-2.7009393E-003
2.1792187E+001	1.2518837E-002	-3.1443501E-003
1.6276043E+001	1.3172721E-002	-3.7457403E-003
1.2150079E+001	1.3961012E-002	-4.1807503E-003
9.0632257E+000	1.5147192E-002	-4.4128783E-003
6.7816839E+000	1.6167289E-002	-4.5241234E-003
5.0599089E+000	1.7270951E-002	-4.3566418E-003
3.7778049E+000	1.8162753E-002	-4.2775567E-003
2.8244758E+000	1.9237680E-002	-4.0885555E-003
2.1092060E+000	1.9881923E-002	-3.5367308E-003
1.5751007E+000	2.0494167E-002	-2.8156210E-003
1.1748117E+000	2.1200707E-002	-2.6010103E-003
8.7780881E-001	2.1509135E-002	-2.4143057E-003
6.5651262E-001	2.1641484E-002	-2.2248961E-003
4.8987335E-001	2.2068162E-002	-1.9015573E-003
3.6592504E-001	2.2668263E-002	-1.6206694E-003
2.7337465E-001	2.2200115E-002	-1.4788414E-003
2.0424840E-001	2.3156421E-002	-6.9133902E-004
1.5246877E-001	2.2825982E-002	-6.8232347E-004
1.1373893E-001	2.2581326E-002	-9.4289443E-004
8.5123882E-002	2.2724764E-002	1.5079378E-004
